dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.81,626.7,24.71
TwoLeadECG,ued,simple_cmp,0.7383669885864794,634.67,1229.11
ECGFiveDays,ued,simple_cmp,0.883855981416957,657.88,1619.99
ItalyPowerDemand,ued,simple_cmp,0.9183673469387755,625.97,423.37
SonyAIBORobotSurface2,ued,simple_cmp,0.8090241343126967,627.0,591.79
SonyAIBORobotSurface1,ued,simple_cmp,0.8851913477537438,622.17,464.76
Plane,ued,simple_cmp,0.8476190476190476,628.06,30.29
Trace,ued,simple_cmp,0.7,608.31,43.05
SmoothSubspace,ued,simple_cmp,0.49333333333333335,622.18,17.85
BME,ued,simple_cmp,0.6,657.33,261.11
CBF,ued,simple_cmp,0.84,684.34,1268.53
UMD,ued,simple_cmp,0.8680555555555556,651.75,206.2
SyntheticControl,ued,simple_cmp,0.7933333333333333,622.13,26.27
ShapeletSim,ued,simple_cmp,0.8222222222222222,663.6,429.36
Chinatown,ued,simple_cmp,0.9708454810495627,605.68,50.13
ECG200,ued,cdf_cmp,0.8,607.57,24.38
TwoLeadECG,ued,cdf_cmp,0.7480245829675154,670.07,1966.69
ECGFiveDays,ued,cdf_cmp,0.7723577235772358,659.04,1570.68
ItalyPowerDemand,ued,cdf_cmp,0.9067055393586005,612.16,219.98
SonyAIBORobotSurface2,ued,cdf_cmp,0.776495278069255,647.31,933.89
SonyAIBORobotSurface1,ued,cdf_cmp,0.8968386023294509,632.29,729.18
Plane,ued,cdf_cmp,0.6571428571428571,605.63,19.85
Trace,ued,cdf_cmp,0.76,644.38,71.73
SmoothSubspace,ued,cdf_cmp,0.52,600.39,3.68
BME,ued,cdf_cmp,0.5533333333333333,654.52,314.99
CBF,ued,cdf_cmp,0.8611111111111112,656.45,1226.51
UMD,ued,cdf_cmp,0.8333333333333334,637.14,182.25
SyntheticControl,ued,cdf_cmp,0.32666666666666666,585.32,9.79
ShapeletSim,ued,cdf_cmp,0.7944444444444444,642.98,439.76
Chinatown,ued,cdf_cmp,0.9591836734693877,606.59,96.97
ECG200,ued,interval_cmp,0.78,629.06,25.83
TwoLeadECG,ued,interval_cmp,0.7445127304653204,648.71,1277.95
ECGFiveDays,ued,interval_cmp,0.8490127758420442,672.22,1713.28
ItalyPowerDemand,ued,interval_cmp,0.923226433430515,625.99,390.93
SonyAIBORobotSurface2,ued,interval_cmp,0.8058761804826863,640.25,679.21
SonyAIBORobotSurface1,ued,interval_cmp,0.8851913477537438,628.57,488.47
Plane,ued,interval_cmp,0.8666666666666667,639.01,38.49
Trace,ued,interval_cmp,0.7,623.74,34.79
SmoothSubspace,ued,interval_cmp,0.49333333333333335,619.14,20.0
BME,ued,interval_cmp,0.6,655.52,233.1
CBF,ued,interval_cmp,0.8777777777777778,659.72,1237.89
UMD,ued,interval_cmp,0.8888888888888888,647.71,172.85
SyntheticControl,ued,interval_cmp,0.82,621.5,28.33
ShapeletSim,ued,interval_cmp,0.8222222222222222,661.41,408.67
Chinatown,ued,interval_cmp,0.9708454810495627,604.8,49.11
ECG200,dust_uniform,simple_cmp,0.76,623.09,32.64
TwoLeadECG,dust_uniform,simple_cmp,0.723441615452151,640.28,911.67
ECGFiveDays,dust_uniform,simple_cmp,0.7897793263646922,656.82,1552.83
ItalyPowerDemand,dust_uniform,simple_cmp,0.8979591836734694,630.06,466.05
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7376705141657922,635.42,875.14
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.47753743760399336,626.48,457.37
Plane,dust_uniform,simple_cmp,0.819047619047619,618.74,19.06
Trace,dust_uniform,simple_cmp,0.77,630.98,34.74
SmoothSubspace,dust_uniform,simple_cmp,0.62,626.59,29.69
BME,dust_uniform,simple_cmp,0.5533333333333333,645.96,203.64
CBF,dust_uniform,simple_cmp,0.9177777777777778,653.88,1005.53
UMD,dust_uniform,simple_cmp,0.5972222222222222,635.08,136.0
SyntheticControl,dust_uniform,simple_cmp,0.6133333333333333,618.67,23.46
ShapeletSim,dust_uniform,simple_cmp,0.5555555555555556,672.24,339.01
Chinatown,dust_uniform,simple_cmp,0.9212827988338192,608.82,117.65
ECG200,dust_normal,simple_cmp,0.72,620.73,22.45
TwoLeadECG,dust_normal,simple_cmp,0.6909569798068481,638.45,901.6
ECGFiveDays,dust_normal,simple_cmp,0.7549361207897793,653.56,1628.63
ItalyPowerDemand,dust_normal,simple_cmp,0.8940719144800777,629.65,408.29
SonyAIBORobotSurface2,dust_normal,simple_cmp,0.6915005246589717,637.38,886.9
SonyAIBORobotSurface1,dust_normal,simple_cmp,0.5108153078202995,630.22,454.64
Plane,dust_normal,simple_cmp,0.780952380952381,620.06,23.9
Trace,dust_normal,simple_cmp,0.7,638.39,45.52
SmoothSubspace,dust_normal,simple_cmp,0.6533333333333333,617.71,25.89
BME,dust_normal,simple_cmp,0.5866666666666667,644.37,175.34
CBF,dust_normal,simple_cmp,0.9111111111111111,657.71,933.12
UMD,dust_normal,simple_cmp,0.6180555555555556,640.4,136.8
SyntheticControl,dust_normal,simple_cmp,0.59,618.17,14.32
ShapeletSim,dust_normal,simple_cmp,0.45,638.25,254.87
Chinatown,dust_normal,simple_cmp,0.8600583090379009,608.19,136.34
ECG200,ed,simple_cmp,0.81,622.64,21.1
TwoLeadECG,ed,simple_cmp,0.7445127304653204,637.41,1011.16
ECGFiveDays,ed,simple_cmp,0.9128919860627178,654.46,1428.98
ItalyPowerDemand,ed,simple_cmp,0.9193391642371235,626.6,370.03
SonyAIBORobotSurface2,ed,simple_cmp,0.8090241343126967,622.76,531.21
SonyAIBORobotSurface1,ed,simple_cmp,0.8851913477537438,616.87,353.4
Plane,ed,simple_cmp,0.9047619047619048,628.67,32.43
Trace,ed,simple_cmp,0.7,621.26,28.61
SmoothSubspace,ed,simple_cmp,0.47333333333333333,619.47,19.96
BME,ed,simple_cmp,0.6066666666666667,650.94,237.44
CBF,ed,simple_cmp,0.8666666666666667,651.08,1113.14
UMD,ed,simple_cmp,0.8958333333333334,641.12,150.72
SyntheticControl,ed,simple_cmp,0.91,629.44,25.25
ShapeletSim,ed,simple_cmp,0.8666666666666667,650.5,395.83
Chinatown,ed,simple_cmp,0.9737609329446064,603.54,42.63
