dataset,distance,cmp,acc,train_duration,test_duration
ECG200,uncertain_ed,simple_cmp,0.75,72.32,6.33
TwoLeadECG,uncertain_ed,simple_cmp,0.9473222124670764,79.73,221.43
ECGFiveDays,uncertain_ed,simple_cmp,0.7502903600464577,98.24,244.97
ItalyPowerDemand,uncertain_ed,simple_cmp,0.8794946550048591,70.7,43.23
SonyAIBORobotSurface2,uncertain_ed,simple_cmp,0.7219307450157397,82.02,224.68
SonyAIBORobotSurface1,uncertain_ed,simple_cmp,0.8386023294509152,79.43,154.62
Plane,uncertain_ed,simple_cmp,0.6285714285714286,72.87,10.38
Trace,uncertain_ed,simple_cmp,0.37,100.39,42.6
SmoothSubspace,uncertain_ed,simple_cmp,0.6266666666666667,65.01,2.16
BME,uncertain_ed,simple_cmp,0.6266666666666667,71.21,36.74
CBF,uncertain_ed,simple_cmp,0.7555555555555555,93.97,215.51
UMD,uncertain_ed,simple_cmp,0.4097222222222222,74.65,29.67
SyntheticControl,uncertain_ed,simple_cmp,0.48333333333333334,65.43,5.1
ShapeletSim,uncertain_ed,simple_cmp,0.8777777777777778,100.88,170.29
Chinatown,uncertain_ed,simple_cmp,0.9766763848396501,66.24,60.8
ECG200,uncertain_ed,cdf_cmp,0.75,84.86,21.53
TwoLeadECG,uncertain_ed,cdf_cmp,0.7190517998244074,86.43,232.82
ECGFiveDays,uncertain_ed,cdf_cmp,0.6225319396051103,99.23,373.69
ItalyPowerDemand,uncertain_ed,cdf_cmp,0.8833819241982507,68.55,27.68
SonyAIBORobotSurface2,uncertain_ed,cdf_cmp,0.7785939139559287,80.62,119.15
SonyAIBORobotSurface1,uncertain_ed,cdf_cmp,0.8019966722129783,76.16,149.0
Plane,uncertain_ed,cdf_cmp,0.9142857142857143,102.75,33.94
Trace,uncertain_ed,cdf_cmp,0.22,89.75,35.71
SmoothSubspace,uncertain_ed,cdf_cmp,0.4066666666666667,58.73,1.07
BME,uncertain_ed,cdf_cmp,0.6533333333333333,73.58,42.92
CBF,uncertain_ed,cdf_cmp,0.7877777777777778,97.65,241.67
UMD,uncertain_ed,cdf_cmp,0.4166666666666667,77.0,43.39
SyntheticControl,uncertain_ed,cdf_cmp,0.34,61.07,6.89
ShapeletSim,uncertain_ed,cdf_cmp,0.8388888888888889,101.49,232.33
Chinatown,uncertain_ed,cdf_cmp,0.9708454810495627,64.92,46.87
ECG200,uncertain_ed,interval_cmp,0.75,72.84,9.97
TwoLeadECG,uncertain_ed,interval_cmp,0.9473222124670764,92.34,205.37
ECGFiveDays,uncertain_ed,interval_cmp,0.7502903600464577,90.64,262.63
ItalyPowerDemand,uncertain_ed,interval_cmp,0.8794946550048591,70.63,40.89
SonyAIBORobotSurface2,uncertain_ed,interval_cmp,0.7219307450157397,84.56,216.26
SonyAIBORobotSurface1,uncertain_ed,interval_cmp,0.8801996672212978,76.35,112.39
Plane,uncertain_ed,interval_cmp,0.6285714285714286,71.94,7.17
Trace,uncertain_ed,interval_cmp,0.95,121.77,37.97
SmoothSubspace,uncertain_ed,interval_cmp,0.66,63.11,2.18
BME,uncertain_ed,interval_cmp,0.6266666666666667,73.76,33.76
CBF,uncertain_ed,interval_cmp,0.7933333333333333,99.81,208.94
UMD,uncertain_ed,interval_cmp,0.4097222222222222,71.67,27.88
SyntheticControl,uncertain_ed,interval_cmp,0.48333333333333334,62.99,3.22
ShapeletSim,uncertain_ed,interval_cmp,0.8777777777777778,92.88,166.27
Chinatown,uncertain_ed,interval_cmp,0.9766763848396501,66.2,62.1
ECG200,dust_uniform,simple_cmp,0.58,68.77,10.49
TwoLeadECG,dust_uniform,simple_cmp,0.7050043898156277,96.11,358.25
ECGFiveDays,dust_uniform,simple_cmp,0.5342624854819977,79.07,120.62
ItalyPowerDemand,dust_uniform,simple_cmp,0.6861030126336248,70.45,43.27
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7135362014690452,78.73,66.45
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.5158069883527454,76.44,126.69
Plane,dust_uniform,simple_cmp,0.3142857142857143,69.36,3.29
Trace,dust_uniform,simple_cmp,0.36,87.28,18.89
SmoothSubspace,dust_uniform,simple_cmp,0.6333333333333333,61.03,1.9
BME,dust_uniform,simple_cmp,0.35333333333333333,75.06,46.43
CBF,dust_uniform,simple_cmp,0.43222222222222223,98.38,187.06
UMD,dust_uniform,simple_cmp,0.5416666666666666,65.89,21.84
SyntheticControl,dust_uniform,simple_cmp,0.37666666666666665,60.34,4.94
ShapeletSim,dust_uniform,simple_cmp,0.5388888888888889,87.3,44.69
Chinatown,dust_uniform,simple_cmp,0.9358600583090378,63.74,44.06
ECG200,dust_uniform,simple_cmp,0.58,73.84,9.9
TwoLeadECG,dust_uniform,simple_cmp,0.7050043898156277,92.4,300.45
ECGFiveDays,dust_uniform,simple_cmp,0.5505226480836237,100.52,234.95
ItalyPowerDemand,dust_uniform,simple_cmp,0.7784256559766763,66.88,53.65
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7135362014690452,80.72,64.55
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.5257903494176372,69.44,104.88
Plane,dust_uniform,simple_cmp,0.3142857142857143,62.7,3.56
Trace,dust_uniform,simple_cmp,0.36,84.03,17.73
SmoothSubspace,dust_uniform,simple_cmp,0.6333333333333333,62.07,2.28
BME,dust_uniform,simple_cmp,0.35333333333333333,70.87,28.45
CBF,dust_uniform,simple_cmp,0.45444444444444443,105.19,216.35
UMD,dust_uniform,simple_cmp,0.5416666666666666,66.57,16.33
SyntheticControl,dust_uniform,simple_cmp,0.37666666666666665,65.8,3.03
ShapeletSim,dust_uniform,simple_cmp,0.5388888888888889,78.64,36.86
Chinatown,dust_uniform,simple_cmp,0.9416909620991254,64.85,40.23
