dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.68,630.93,34.1
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.57243195785777,638.41,1090.66
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.6120789779326364,680.64,2114.05
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.6482021379980564,637.5,530.29
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.5089192025183631,626.7,675.23
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.519134775374376,625.85,628.74
Plane,hellinger_based_distance,simple_cmp,GNB,0.4666666666666667,624.97,25.79
Trace,hellinger_based_distance,simple_cmp,GNB,0.4,641.22,46.12
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.5266666666666666,622.3,22.41
BME,hellinger_based_distance,simple_cmp,GNB,0.4666666666666667,633.21,165.51
CBF,hellinger_based_distance,simple_cmp,GNB,0.6277777777777778,664.43,1266.77
UMD,hellinger_based_distance,simple_cmp,GNB,0.4791666666666667,638.05,147.03
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.36666666666666664,620.03,22.65
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.4666666666666667,682.35,641.95
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.7288629737609329,605.99,93.13
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.6,634.84,36.02
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.57243195785777,641.63,1338.27
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.5958188153310104,683.72,2365.34
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.6365403304178814,641.49,564.12
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.5540398740818469,634.48,911.18
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.4908485856905158,623.04,522.36
Plane,jensen_shannon_distance,simple_cmp,GNB,0.38095238095238093,621.77,24.7
Trace,jensen_shannon_distance,simple_cmp,GNB,0.55,680.05,82.41
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.44,622.64,22.74
BME,jensen_shannon_distance,simple_cmp,GNB,0.3933333333333333,650.93,246.69
CBF,jensen_shannon_distance,simple_cmp,GNB,0.6611111111111111,643.12,881.23
UMD,jensen_shannon_distance,simple_cmp,GNB,0.3611111111111111,655.97,216.68
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.29,613.71,15.11
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.5166666666666667,657.01,408.67
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.673469387755102,606.35,91.58
