dataset,distance,cmp,acc,train_duration,test_duration
ECG200,uncertain_ed,simple_cmp,0.77,75.27,6.64
TwoLeadECG,uncertain_ed,simple_cmp,0.9833187006145742,87.73,199.64
ECGFiveDays,uncertain_ed,simple_cmp,0.6852497096399536,100.58,259.4
ItalyPowerDemand,uncertain_ed,simple_cmp,0.923226433430515,68.44,28.53
SonyAIBORobotSurface2,uncertain_ed,simple_cmp,0.7880377754459601,78.25,198.84
SonyAIBORobotSurface1,uncertain_ed,simple_cmp,0.870216306156406,74.53,148.06
Plane,uncertain_ed,simple_cmp,0.45714285714285713,73.28,9.1
Trace,uncertain_ed,simple_cmp,0.22,101.22,42.19
SmoothSubspace,uncertain_ed,simple_cmp,0.7733333333333333,62.35,2.86
BME,uncertain_ed,simple_cmp,0.6333333333333333,70.75,33.83
CBF,uncertain_ed,simple_cmp,0.8555555555555555,97.27,207.02
UMD,uncertain_ed,simple_cmp,0.4375,74.87,25.0
SyntheticControl,uncertain_ed,simple_cmp,0.43333333333333335,66.73,5.4
ShapeletSim,uncertain_ed,simple_cmp,0.7777777777777778,102.5,179.74
Chinatown,uncertain_ed,simple_cmp,0.967930029154519,66.01,66.32
ECG200,uncertain_ed,cdf_cmp,0.77,82.29,20.27
TwoLeadECG,uncertain_ed,cdf_cmp,0.7805092186128183,91.17,214.01
ECGFiveDays,uncertain_ed,cdf_cmp,0.6980255516840883,82.41,328.34
ItalyPowerDemand,uncertain_ed,cdf_cmp,0.9008746355685131,65.73,23.85
SonyAIBORobotSurface2,uncertain_ed,cdf_cmp,0.8006295907660022,78.35,110.57
SonyAIBORobotSurface1,uncertain_ed,cdf_cmp,0.7986688851913477,74.96,100.74
Plane,uncertain_ed,cdf_cmp,0.6952380952380952,100.34,21.16
Trace,uncertain_ed,cdf_cmp,0.23,88.86,35.4
SmoothSubspace,uncertain_ed,cdf_cmp,0.56,57.55,0.98
BME,uncertain_ed,cdf_cmp,0.6333333333333333,72.07,41.48
