dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.77,628.22,29.66
TwoLeadECG,ued,simple_cmp,0.5443371378402108,644.1,1546.95
ECGFiveDays,ued,simple_cmp,0.6178861788617886,674.75,2414.44
ItalyPowerDemand,ued,simple_cmp,0.7560738581146744,642.9,499.79
SonyAIBORobotSurface2,ued,simple_cmp,0.6915005246589717,630.68,572.27
SonyAIBORobotSurface1,ued,simple_cmp,0.7054908485856906,625.51,373.91
Plane,ued,simple_cmp,0.7523809523809524,622.41,28.55
Trace,ued,simple_cmp,0.62,618.97,30.48
SmoothSubspace,ued,simple_cmp,0.3933333333333333,622.92,16.32
BME,ued,simple_cmp,0.5866666666666667,643.22,217.29
CBF,ued,simple_cmp,0.6822222222222222,657.06,1069.63
UMD,ued,simple_cmp,0.75,653.83,191.19
SyntheticControl,ued,simple_cmp,0.5266666666666666,617.05,21.5
ShapeletSim,ued,simple_cmp,0.5055555555555555,691.78,646.3
Chinatown,ued,simple_cmp,0.8367346938775511,607.0,76.54
ECG200,ued,cdf_cmp,0.73,617.09,17.6
TwoLeadECG,ued,cdf_cmp,0.5399473222124671,689.41,2951.9
ECGFiveDays,ued,cdf_cmp,0.5795586527293844,677.1,2092.93
ItalyPowerDemand,ued,cdf_cmp,0.7998056365403304,623.61,194.1
SonyAIBORobotSurface2,ued,cdf_cmp,0.6883525708289612,632.11,1017.51
SonyAIBORobotSurface1,ued,cdf_cmp,0.6622296173044925,640.01,720.11
Plane,ued,cdf_cmp,0.6952380952380952,614.12,20.31
Trace,ued,cdf_cmp,0.42,623.11,40.17
SmoothSubspace,ued,cdf_cmp,0.3933333333333333,599.93,5.28
BME,ued,cdf_cmp,0.5866666666666667,654.11,220.61
CBF,ued,cdf_cmp,0.5533333333333333,652.13,1451.57
UMD,ued,cdf_cmp,0.6597222222222222,634.49,157.27
SyntheticControl,ued,cdf_cmp,,,
ShapeletSim,ued,cdf_cmp,0.4888888888888889,663.59,641.71
Chinatown,ued,cdf_cmp,0.6705539358600583,605.77,107.38
ECG200,ued,interval_cmp,0.72,625.19,26.97
TwoLeadECG,ued,interval_cmp,0.5381913959613697,649.68,1670.37
ECGFiveDays,ued,interval_cmp,0.6132404181184669,681.54,2423.12
ItalyPowerDemand,ued,interval_cmp,0.749271137026239,649.15,516.36
SonyAIBORobotSurface2,ued,interval_cmp,0.6946484784889821,623.87,603.59
SonyAIBORobotSurface1,ued,interval_cmp,0.7054908485856906,616.24,366.41
Plane,ued,interval_cmp,0.780952380952381,629.81,27.45
Trace,ued,interval_cmp,0.62,627.86,35.0
SmoothSubspace,ued,interval_cmp,0.38666666666666666,612.4,13.45
BME,ued,interval_cmp,0.58,641.48,166.24
CBF,ued,interval_cmp,0.6822222222222222,648.2,1056.95
UMD,ued,interval_cmp,0.7638888888888888,646.43,153.91
SyntheticControl,ued,interval_cmp,0.5266666666666666,627.15,21.9
ShapeletSim,ued,interval_cmp,0.4666666666666667,674.27,486.56
Chinatown,ued,interval_cmp,0.8367346938775511,604.13,59.01
ECG200,dust_uniform,simple_cmp,0.67,636.3,38.22
TwoLeadECG,dust_uniform,simple_cmp,0.6374012291483757,643.75,966.88
ECGFiveDays,dust_uniform,simple_cmp,0.6353077816492451,676.59,1884.07
ItalyPowerDemand,dust_uniform,simple_cmp,0.6948493683187561,637.19,477.95
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.6862539349422875,642.82,1065.2
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.4841930116472546,625.76,559.74
Plane,dust_uniform,simple_cmp,0.5523809523809524,631.16,32.47
Trace,dust_uniform,simple_cmp,0.6,644.72,33.83
SmoothSubspace,dust_uniform,simple_cmp,0.5066666666666667,616.09,16.66
BME,dust_uniform,simple_cmp,0.5333333333333333,649.84,227.97
CBF,dust_uniform,simple_cmp,0.7866666666666666,661.19,1006.88
UMD,dust_uniform,simple_cmp,0.5277777777777778,637.67,163.38
SyntheticControl,dust_uniform,simple_cmp,0.47,623.63,20.99
ShapeletSim,dust_uniform,simple_cmp,0.49444444444444446,685.01,553.55
Chinatown,dust_uniform,simple_cmp,0.7580174927113703,607.01,110.46
ECG200,dust_normal,simple_cmp,0.7,638.03,35.88
TwoLeadECG,dust_normal,simple_cmp,0.6251097453906936,643.15,1189.87
ECGFiveDays,dust_normal,simple_cmp,0.627177700348432,691.99,2214.77
ItalyPowerDemand,dust_normal,simple_cmp,0.7259475218658892,631.75,449.33
SonyAIBORobotSurface2,dust_normal,simple_cmp,0.602308499475341,645.52,983.03
SonyAIBORobotSurface1,dust_normal,simple_cmp,0.4559068219633943,626.1,614.05
Plane,dust_normal,simple_cmp,0.49523809523809526,617.52,18.16
Trace,dust_normal,simple_cmp,0.51,631.59,29.07
SmoothSubspace,dust_normal,simple_cmp,0.5,619.15,19.03
BME,dust_normal,simple_cmp,0.5,647.04,210.67
CBF,dust_normal,simple_cmp,0.7933333333333333,666.32,1142.03
UMD,dust_normal,simple_cmp,0.4930555555555556,630.49,117.17
SyntheticControl,dust_normal,simple_cmp,0.4666666666666667,620.21,22.66
ShapeletSim,dust_normal,simple_cmp,0.4388888888888889,658.1,407.33
Chinatown,dust_normal,simple_cmp,0.6967930029154519,608.58,113.33
ECG200,ed,simple_cmp,0.76,617.2,24.51
TwoLeadECG,ed,simple_cmp,0.5381913959613697,652.81,1458.65
