dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.74,639.61,46.94
TwoLeadECG,ued,simple_cmp,0.5487269534679543,652.25,1643.27
ECGFiveDays,ued,simple_cmp,0.6085946573751452,710.32,2466.69
ItalyPowerDemand,ued,simple_cmp,0.6977648202137998,633.46,540.11
SonyAIBORobotSurface2,ued,simple_cmp,0.621196222455404,633.46,824.4
SonyAIBORobotSurface1,ued,simple_cmp,0.502495840266223,622.64,482.17
Plane,ued,simple_cmp,0.4380952380952381,629.26,37.38
Trace,ued,simple_cmp,0.43,626.71,29.96
SmoothSubspace,ued,simple_cmp,0.5066666666666667,618.78,24.52
BME,ued,simple_cmp,0.4533333333333333,637.61,206.54
CBF,ued,simple_cmp,0.62,671.45,1387.48
UMD,ued,simple_cmp,0.6736111111111112,643.24,199.19
SyntheticControl,ued,simple_cmp,0.44,616.54,22.77
ShapeletSim,ued,simple_cmp,0.48333333333333334,633.79,311.02
Chinatown,ued,simple_cmp,0.7434402332361516,606.44,64.05
ECG200,ued,cdf_cmp,0.65,620.45,27.45
TwoLeadECG,ued,cdf_cmp,0.485513608428446,663.59,2510.54
ECGFiveDays,ued,cdf_cmp,0.5319396051103368,687.86,2476.54
ItalyPowerDemand,ued,cdf_cmp,0.6103012633624878,623.6,219.48
SonyAIBORobotSurface2,ued,cdf_cmp,0.6180482686253935,657.99,1564.83
SonyAIBORobotSurface1,ued,cdf_cmp,0.4825291181364393,634.57,871.42
Plane,ued,cdf_cmp,0.20952380952380953,641.27,61.18
Trace,ued,cdf_cmp,0.3,621.42,34.34
SmoothSubspace,ued,cdf_cmp,0.4666666666666667,600.29,6.83
BME,ued,cdf_cmp,0.37333333333333335,636.34,201.72
CBF,ued,cdf_cmp,0.5333333333333333,658.84,1169.7
UMD,ued,cdf_cmp,0.5486111111111112,650.65,207.48
SyntheticControl,ued,cdf_cmp,,,
ShapeletSim,ued,cdf_cmp,0.5166666666666667,646.29,482.75
Chinatown,ued,cdf_cmp,0.6938775510204082,612.19,172.51
ECG200,ued,interval_cmp,0.74,649.99,37.03
TwoLeadECG,ued,interval_cmp,0.5460930640913082,650.23,1481.48
ECGFiveDays,ued,interval_cmp,0.6155632984901278,681.77,2051.51
ItalyPowerDemand,ued,interval_cmp,0.685131195335277,634.62,493.01
SonyAIBORobotSurface2,ued,interval_cmp,0.621196222455404,639.42,806.95
SonyAIBORobotSurface1,ued,interval_cmp,0.5008319467554077,620.02,394.22
Plane,ued,interval_cmp,0.4380952380952381,624.79,46.35
Trace,ued,interval_cmp,0.43,614.74,25.09
SmoothSubspace,ued,interval_cmp,0.5066666666666667,618.74,16.23
BME,ued,interval_cmp,0.42,627.71,142.65
CBF,ued,interval_cmp,0.6411111111111111,656.98,1072.72
UMD,ued,interval_cmp,0.6597222222222222,633.62,113.51
SyntheticControl,ued,interval_cmp,0.44,608.49,12.64
ShapeletSim,ued,interval_cmp,0.4722222222222222,648.78,365.82
Chinatown,ued,interval_cmp,0.7405247813411079,603.72,40.71
