dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.7,631.32,33.26
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.5715539947322212,637.58,1241.24
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.6411149825783972,674.23,2142.87
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.6569484936831875,635.16,478.89
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.640083945435467,632.78,756.99
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.4559068219633943,631.97,750.72
Plane,hellinger_based_distance,simple_cmp,GNB,0.4666666666666667,624.8,26.63
Trace,hellinger_based_distance,simple_cmp,GNB,0.38,636.47,46.98
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.4666666666666667,628.03,26.89
BME,hellinger_based_distance,simple_cmp,GNB,0.52,646.38,213.52
CBF,hellinger_based_distance,simple_cmp,GNB,0.5877777777777777,655.19,1154.77
UMD,hellinger_based_distance,simple_cmp,GNB,0.4722222222222222,649.58,181.26
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.43666666666666665,623.6,20.36
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.49444444444444446,670.43,580.69
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.7317784256559767,606.2,80.11
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.56,642.17,40.94
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.5899912203687445,639.85,1322.96
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.5900116144018583,669.85,1994.19
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.6550048590864918,636.3,517.79
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.55299055613851,629.67,784.42
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.4459234608985025,626.2,605.3
Plane,jensen_shannon_distance,simple_cmp,GNB,0.3047619047619048,632.66,30.08
Trace,jensen_shannon_distance,simple_cmp,GNB,0.56,621.25,29.98
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.46,632.15,32.68
BME,jensen_shannon_distance,simple_cmp,GNB,0.37333333333333335,654.68,262.92
CBF,jensen_shannon_distance,simple_cmp,GNB,0.6922222222222222,653.06,1139.36
UMD,jensen_shannon_distance,simple_cmp,GNB,0.3611111111111111,659.66,223.23
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.24333333333333335,611.57,14.82
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.5,661.1,438.86
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.6676384839650146,606.3,96.9
