dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,RF,0.8,629.77,25.58
TwoLeadECG,hellinger_based_distance,simple_cmp,RF,0.8551360842844601,631.98,1012.48
ECGFiveDays,hellinger_based_distance,simple_cmp,RF,0.8780487804878049,656.26,1513.0
ItalyPowerDemand,hellinger_based_distance,simple_cmp,RF,0.9183673469387755,633.04,421.25
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,RF,0.7817418677859391,624.9,614.42
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,RF,0.8469217970049917,622.27,503.78
Plane,hellinger_based_distance,simple_cmp,RF,0.9047619047619048,626.58,26.54
Trace,hellinger_based_distance,simple_cmp,RF,0.82,643.34,47.95
SmoothSubspace,hellinger_based_distance,simple_cmp,RF,0.7333333333333333,622.19,20.21
BME,hellinger_based_distance,simple_cmp,RF,0.6333333333333333,648.52,243.91
CBF,hellinger_based_distance,simple_cmp,RF,0.9322222222222222,647.55,971.35
UMD,hellinger_based_distance,simple_cmp,RF,0.7916666666666666,651.79,204.53
SyntheticControl,hellinger_based_distance,simple_cmp,RF,0.7533333333333333,623.75,25.14
ShapeletSim,hellinger_based_distance,simple_cmp,RF,0.8,664.17,485.19
Chinatown,hellinger_based_distance,simple_cmp,RF,0.967930029154519,604.11,48.57
ECG200,jensen_shannon_distance,simple_cmp,RF,0.65,639.79,39.37
TwoLeadECG,jensen_shannon_distance,simple_cmp,RF,0.6804214223002634,649.76,1854.03
ECGFiveDays,jensen_shannon_distance,simple_cmp,RF,0.6562137049941928,669.54,2158.98
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,RF,0.8066083576287658,645.22,609.93
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,RF,0.7660020986358866,636.96,1080.83
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,RF,0.5773710482529119,620.61,472.11
Plane,jensen_shannon_distance,simple_cmp,RF,0.38095238095238093,629.44,32.24
Trace,jensen_shannon_distance,simple_cmp,RF,0.72,655.02,63.05
SmoothSubspace,jensen_shannon_distance,simple_cmp,RF,0.5666666666666667,628.34,31.96
BME,jensen_shannon_distance,simple_cmp,RF,0.47333333333333333,675.93,368.84
CBF,jensen_shannon_distance,simple_cmp,RF,0.7844444444444445,654.69,1264.25
UMD,jensen_shannon_distance,simple_cmp,RF,0.375,677.45,303.17
SyntheticControl,jensen_shannon_distance,simple_cmp,RF,0.33666666666666667,623.8,27.36
